ConcatID,Latitude,Longitude
CAS255945,36.627361,-115.109667
CAS255944,36.645056,-115.097778
CAS255942,36.638333,-115.112972
CAS255941,36.626722,-115.111917
CAS255935,36.622861,-115.24225
CAS255934,36.624167,-115.235167
CAS255932,36.628361,-115.216472
CAS255931,36.628278,-115.214056
CAS255930,36.6325,-115.208333
CAS255929,36.63175,-115.207722
CAS255928,36.624167,-115.231556
CAS255961,36.573611,-115.213694
CAS255959,36.563694,-115.207528
CAS255958,36.561778,-115.206139
CAS255954,36.571417,-115.201306
CAS255779,36.063528,-118.218767
CAS255778,36.063528,-118.218767
CAS255777,36.063528,-118.218767
CAS255467,36.369783,-120.644736
CAS253032,36.052417,-118.13275
CAS253031,36.050517,-118.131453
CAS253018,35.451278,-118.318722
CAS253023,35.482833,-118.338639
CAS253017,35.449889,-118.318472
CAS253020,35.48325,-118.338778
CAS252949,38.90615,-122.309133
CAS253034,36.053533,-118.131733
CAS252948,38.90615,-122.309133
CAS252893,36.317667,-120.453056
CAS234651,38.75922,-122.75467
CAS251468,38.759261,-122.753622
KU193870,42.13498,-122.03116
KU193869,42.2414,-123.67878
KU193868,42.2414,-123.67878
KU193867,42.2414,-123.67878
KU193866,42.2414,-123.67878
KU193865,42.2414,-123.67878
KU193864,42.2414,-123.67878
KU193863,42.2414,-123.67878
KU193862,42.2414,-123.67878
KU193861,42.2414,-123.67878
KU193860,42.2414,-123.67878
KU193859,35.7100759,-118.5562277
KU193858,35.7100759,-118.5562277
KU193857,35.7100759,-118.5562277
KU193856,35.7100759,-118.5562277
KU193855,35.7100759,-118.5562277
KU193854,35.7100759,-118.5562277
KU193853,35.7100759,-118.5562277
KU193852,35.7100759,-118.5562277
KU193851,35.7379685,-118.6486081
KU193850,35.7379685,-118.6486081
KU193849,35.7379685,-118.6486081
KU176454,41.93922,-111.55267
KU176453,41.93922,-111.55267
KU176452,33.75031,-116.66757
KU176451,33.75031,-116.66757
KU154474,42.681023,-112.983051
KU154473,42.681023,-112.983051
KU106283,37.246945,-108.486115
KU106282,37.246945,-108.486115
KU106023,37.23333,-108.47917
KU106022,37.23333,-108.47917
KU106021,37.232875,-108.448615
KU106020,37.232875,-108.448615
KU106019,37.232875,-108.448615
KU106018,37.23333,-108.47917
KU106017,37.23333,-108.47917
KU106016,37.23333,-108.47917
KU106015,37.25009,-108.51065
KU106014,37.178083,-108.444222
KU106013,37.178083,-108.444222
KU106012,37.178083,-108.444222
KU106011,37.178083,-108.444222
KU106010,37.178083,-108.444222
KU106009,37.178083,-108.444222
KU106008,37.178083,-108.444222
KU106007,37.178083,-108.444222
KU106006,37.178083,-108.444222
KU106005,37.178083,-108.444222
KU106004,37.178083,-108.444222
KU106003,37.178083,-108.444222
KU106002,37.178083,-108.444222
KU106001,37.178083,-108.444222
KU106000,37.178083,-108.444222
KU105999,37.178083,-108.444222
KU105998,37.178083,-108.444222
KU105997,37.178083,-108.444222
KU105996,37.178083,-108.444222
KU105995,37.178083,-108.444222
KU105994,37.178083,-108.444222
KU105993,37.178083,-108.444222
KU105992,37.178083,-108.444222
KU105991,37.256665,-108.462365
KU105990,37.256665,-108.462365
KU105989,37.256665,-108.462365
KU105988,37.256665,-108.462365
KU105987,37.256665,-108.462365
KU105986,37.256665,-108.462365
KU105985,37.234025,-108.4225
KU105984,37.234025,-108.4225
KU105983,37.20375,-108.48792
KU105982,37.21736,-108.51028
KU105981,37.21736,-108.51028
KU105980,37.21736,-108.51028
KU105979,37.21736,-108.51028
KU105978,37.21736,-108.51028
KU105977,37.21736,-108.51028
KU105976,37.21736,-108.51028
KU105975,37.21736,-108.51028
KU105974,37.21736,-108.51028
KU105973,37.246945,-108.486115
KU105972,37.246945,-108.486115
KU105971,37.246945,-108.486115
KU105970,37.246945,-108.486115
KU105969,37.246945,-108.486115
KU105968,37.246945,-108.486115
KU105967,37.246945,-108.486115
KU105966,37.246945,-108.486115
KU105965,37.246945,-108.486115
KU105964,37.246945,-108.486115
KU105963,37.246945,-108.486115
KU105962,37.246945,-108.486115
KU105961,37.246945,-108.486115
KU105960,37.246945,-108.486115
KU105959,37.246945,-108.486115
KU105958,37.246945,-108.486115
KU105957,37.246945,-108.486115
KU105956,37.246945,-108.486115
KU105955,37.246945,-108.486115
KU105954,37.246945,-108.486115
