cluster,concat_id,long,lat
1,MSBMSB:Herp:55198,-103.878968,33.334213
1,MSBMSB:Herp:21296,-102.970185,31.95286
1,MSBMSB:Herp:33818,-103.98655,32.78726
1,MSBMSB:Herp:33589,-103.12743,32.5518
2,CAS88036,-117.563211,36.5352
2,MVZMVZ:Herp:38374,-118.4038781,37.1266971
2,LACM189154,-118.52386,37.65153
2,MVZMVZ:Herp:64022,-117.0719487,36.2370546
2,LACM95739,-118.0903644,36.6583302
2,SDNHM12299,-119.10916,37.8151
3,LACM142340,-117.8,34.35
3,LACM18359,-117.1028913,34.203014
3,LACM4449,-119.1146059,34.6294342
3,SDNHM12222,-116.69811,33.75867
3,SDNHM46253,-115.55926,30.87471
3,CAS213205,-118.5690065,35.4828196
3,SDNHM1239,-116.45036,32.77167
3,SDNHM20392,-115.9024,32.0408
3,LACM18607,-118.5260412,34.6956356
3,LACM18599,-118.471099,34.165519
3,MVZMVZ:Herp:286952,-117.269539,33.51217
3,LACM95828,-116.73704,33.24977
3,CAS11380,-116.4588766,31.6259314
4,CAS7669,-119.8245533,38.340786
4,CAS13851,-120.6308801,39.6118189
4,MVZMVZ:Herp:228760,-120.6590811,38.8962292
4,CAS3237,-122.3102645,41.3097763
4,CAS225024,-121.3551784,40.402299
4,CAS209650,-121.035114,39.9265379
4,CAS5900,-120.020833,38.921944
4,MVZMVZ:Herp:179974,-122.9418292,41.2316019
4,CAS227721,-120.604167,40.247222
4,CAS189550,-121.416833,37.409261
4,MVZMVZ:Herp:228987,-122.2779799,38.9099036
4,CAS6590,-122.1925,40.7375
4,MVZMVZ:Herp:228873,-121.8206034,39.2054967
4,MVZMVZ:Herp:3830,-122.5447455,39.5889833
4,KU193860,-123.67878,42.2414
4,MVZMVZ:Herp:18365,-123.4824485,41.7160718
4,CAS5972,-121.6891151,40.8688305
4,CAS227071,-120.8580597,40.6858815
4,CAS227453,-121.67068,39.9988593
4,CAS44192,-121.143056,41.121389
4,CAS55701,-120.185261,37.828897
4,CAS5079,-120.705278,38.300556
4,MVZMVZ:Herp:230561,-122.0701085,38.4234002
4,MVZMVZ:Herp:14987,-122.7903806,40.6415387
5,CAS15103,-114.2363375,38.9888811
5,UMNHUMNH:Herp:2304,-112.6,40.3333
5,MVZMVZ:Herp:250591,-112.316833,39.740667
5,SDNHM26335,-113.61,40.41
5,LACM113572,-112.20437,40.73253
5,CAS228320,-112.945833,42.108667
5,CAS229056,-112.363,42.79535
5,UMNHUMNH:Herp:1415,-112.60392,41.209441
5,CAS229140,-113.676083,41.95375
5,SDNHM663,-112.83,39.55
5,BYUBYU:Herp:13020,-113.899734,41.350276
5,USNMUSNM 48664,-112.251,42.1916
5,BYUBYU:Herp:49431,-113.868167,39.780183
6,CAS249493,-119.488694,41.488361
6,MVZMVZ:Herp:1388,-118.7518153,41.7084206
6,CAS20174,-117.579638,38.8340926
6,MVZMVZ:Herp:230268,-119.3754,47.0665
6,CAS262193,-118.426111,41.308861
6,MVZMVZ:Herp:16790,-119.1377237,45.9136561
6,USNMUSNM 313041,-118.868,43.0663
6,USNMUSNM 44977,-119.054,43.5863
6,CAS11215,-117.7027379,39.5400065
6,MVZMVZ:Herp:251463,-118.68131,38.41205
6,USNMUSNM 44674,-118.605,42.3796
6,UCMUCM:Herp:63851,-118.524729,43.743738
7,BYUBYU:Herp:2787,-111.90425,40.38838
7,UCMUCM:Herp:9433,-108.858278,37.101833
7,MSBMSB:Herp:87684,-108.887875,40.605814
7,MSBMSB:Herp:3090,-108.44039,36.78984
7,MVZMVZ:Herp:16402,-110.864752,37.0159511
7,UCMUCM:Herp:7275,-107.698068,36.724103
7,SDNHM26375,-112.43,40.09
7,MVZMVZ:Herp:76422,-109.9100599,36.1543663
7,KU79582,-109.187137,41.566025
7,UMNHUMNH:Herp:8090,-110.810715,39.59941
7,MVZMVZ:Herp:230686,-112.245594,39.526718
7,CAS54034,-113.04938,37.86345
7,MSBMSB:Herp:82988,-108.269139,39.98562
7,KU50804,-113.43495,37.31594
7,UCMUCM:Herp:2714,-108.728988,39.071893
7,UMNHUMNH:Herp:1737,-111.859925,38.957741
7,UMNHUMNH:Herp:732,-112.6,37.3333
7,KU79614,-110.885384,41.268304
7,MSBMSB:Herp:84941,-111.248313,38.282256
7,UMNHUMNH:Herp:1212,-111.655487,41.037445
7,UMNHUMNH:Herp:1504,-110.822366,36.413051
7,UCMUCM:Herp:6812,-107.546454,40.57322
7,BYUBYU:Herp:53803,-112.27499,38.580632
7,UMNHUMNH:Herp:1206,-111.248781,38.923031
7,USNMUSNM 40157,-108.014,40.9652
7,BYUBYU:Herp:17899,-110.36274,37.41309
7,UCMUCM:Herp:4159,-108.8,39.923869
7,UCMUCM:Herp:20011,-108.962328,38.368322
7,CAS54194,-111.854825,41.632685
7,MSBMSB:Herp:39914,-107.90211,36.01637
7,BYUBYU:Herp:37827,-108.125634,39.493921
7,BYUBYU:Herp:13795,-108.28861,37.345
7,UCMUCM:Herp:2278,-108.27767,40.51759
7,UMNHUMNH:Herp:3779,-107.337435,38.453292
7,MVZMVZ:Herp:17829,-110.2543738,36.7277512
7,BYUBYU:Herp:14666,-111.93061,37.22765
7,BYUBYU:Herp:37816,-109.9083,37.19744
7,USNMUSNM 66184,-109.345,40.37
7,LACM95849,-109.40775,37.73848
7,UCMUCM:Herp:9705,-107.397746,39.548013
7,UCMUCM:Herp:32693,-108.904068,37.697644
7,UMNHUMNH:Herp:3047,-110.25172,38.37213
7,CAS41042,-109.713,38.971
7,LACM113558,-112.54589,40.60641
7,MVZMVZ:Herp:229161,-112.8267395,36.864632
7,UMNHUMNH:Herp:3505,-109.651478,40.92275
7,USNMUSNM 565799,-108.83,44.9
7,USNMUSNM 48128,-108.17,43.4417
7,UMNHUMNH:Herp:2486,-111.602119,37.625272
7,CAS259739,-115.116667,36.622694
7,UMNHUMNH:Herp:1347,-110.061817,39.861055
7,UCMUCM:Herp:22100,-108.261744,38.540307
7,UMNHUMNH:Herp:174,-110.318761,39.088027
7,CAS38078,-113.00968,38.39329
7,KU79491,-110.325707,41.258704
7,LACM133280,-109.66472,38.33589
7,MVZMVZ:Herp:54590,-114.1305775,37.427411
7,USNMUSNM 44926,-108.5225281,45.7241391
7,MSBMSB:Herp:84883,-110.983686,37.760586000000004
7,USNMUSNM 44640,-109.332,36.1495
7,MVZMVZ:Herp:17822,-112.1672203,36.5832426
7,MSBMSB:Herp:14209,-108.88527,36.46798
7,UMNHUMNH:Herp:513,-111.435742,39.456075
7,UCMUCM:Herp:17388,-107.8833,37.8167
7,UMNHUMNH:Herp:5306,-111.855213,39.868288
7,CAS54197,-111.407,41.985
7,USNMUSNM 48657,-109.465,42.6333
7,MVZMVZ:Herp:146095,-112.2997153,37.7412666
7,MVZMVZ:Herp:28714,-114.215028,38.2021044
7,SDNHM663,-112.83,39.55
7,BYUBYU:Herp:8399,-110.71458,38.7256
7,USNMUSNM 18137,-114.4605805,36.9479193
7,UMNHUMNH:Herp:928,-111.372923,40.451117000000004
7,CAS175194,-108.5445,43.8069
7,UCMUCM:Herp:690,-108.730672,42.833014
7,KU29414,-110.556374,41.792498
7,USNMUSNM 48130,-109.422,43.4125
7,USNMUSNM 48175,-108.358,44.4906
7,BYUBYU:Herp:16685,-110.73961,40.15607
